Countries	PIB	1/Desemprego	Income Tax Rate (%)	1/Infl	Inc. PIB per Capita (%)	Reservas Totais	R (% do PIB)/D (% do PIB)	Pop. Act. (%) (15 - 65)	Despesas do Governo em Edu. (% do PIB)	Taxa de alfab.	Valor agregado	P&D (% do PIB)	Export de Alta Tecno (US$)	Import. Bens e Serv (% do PIB)	GINI	1/Pop. favelas	ECI_2019	Class	Overall score
Guinea	40.2688	0.202453739	34	0.136087749	5.068941815	1188279426		53.22823687	2.25940001	50.11778641			799558	53.44189262	31.65	0.020140987	-1.752985	3	55.02
Honduras	211.5716	0.182655074	21	0.306522805	-0.420695939	5434687239	0.955055892	63.53452654	5.266489863	95.79791164	7.163458027	0.03994	31275105	57.31022403	50.15555556	0.025316456	-0.57248	3	60.24
Hungary	6427.6686	0.226060222	21.36	0.340413943	2.532844009	31674787113	0.950108732	66.48146977	4.622509956	98.80000305	55.96273863	1.35179	17479240191	78.80244456	30.36666667	0.07352941	1.632004	1	66.44
India	5656.7092	0.226572413	30.54	0.236216752	2.601771336	4.45435E+11	0.832805197	66.76970063	3.450979948	88.90446091	41.41512919	0.66279	18919811343	21.33952034	35.7	0.028328611	0.460608	2	55.32
Indonesia	2192.4204	0.131891322	32	0.083728252	2.470432282	1.2647E+11	0.85477663	67.55476516	3.002957523	99.54728063	35.7305005	0.236576667	6093008573	18.9213664	38.7	0.032520325	0.017737	2	65.7
Iran. Islamic Rep.	749.5114	0.109820115	37.4	0.06434344	0.180059804			69.35653381	3.693679988	97.95772743	44.76694901	0.83027	227074654.7	27.1812015	39.91428571	0.040650407	-0.349011	3	
Ireland	364.5026	0.179153678	44.2	4.582951421	4.922769626	5284023531	1.029454648	64.78629979	3.527893305		54.46673437	1.157695	38225844242	106.5128348	32.2625		1.332997	1	81.04
Israel	1578.9582	0.141578888	46.4	3.092145949	0.950880332	1.24604E+11	0.88317547	60.1383377	6.043633143		39.95906104	4.756263333	12547815400	27.15491989	39.8125		1.258217	1	72.16
Italy	955.6198	0.096991329	35.8	0.534302201	-0.506361787	1.6494E+11	0.928575794	63.92738828	4.03881669	99.89482117	44.07198072	1.37612	32532631232	27.37565902	35.2		1.367583	1	63.76
Jamaica	3381.0716	0.137900601	32.32	0.363609919	-1.44370029	3634758660	1.138599071	67.39031536	5.311121941	96.30000305	18.7673031		2567009.5	49.81418858		0.01710864	-0.244263	3	68.52
Jordan	350.0846	0.088903113	15.6	0.298953662	-0.651732399	15543454210	0.868016772	61.94098633	3.163660049	99.19938151	23.71347019	0.70781	91428715.8	50.86730246		0.04494382	-0.035604	3	64.42
Kazakhstan	299.6328	0.165136403	18	0.123213406	0.903154684	31184409272	0.920319522	64.25788396	2.800460041	99.89736176	15.24236693	0.12843	2072192140	26.64224913	27.45		-0.319771	3	67.92
Kenya	260.2886	0.181303938	18	0.264872596	1.285272514	8091351069	0.868868628	57.8956475	5.21799202	87.17781448	12.76147557		81600353.8	20.94348785	40.8	0.021505376	-0.301547	3	54.52
Kuwait	134.0836	0.395914166	9.6	0.493534695	-3.858810768	41539100134		75.94698544	6.329212093	99.13702138	39.05016124	0.07421	59532664.4	46.42009718			-0.767404	3	61.72
Lao PDR	54.537	0.274213009	26.96	0.33877634	3.630813096	1105090633		63.331034	2.425277472	82.25943375	3.774775246		340571967.5	41.88246346	37.4	0.047732697	-0.647744	3	
Latvia	73.3942	0.128955717	26.16	0.493632145	2.520397684	4453079001	0.951911951	63.97576308	4.425000032	99.82771301	23.21297631	0.531913333	1560708971	60.67017682	35.03333333		0.66914	2	72.6
Lebanon	36.5502	0.201661692	23	0.037651453	-6.487116894	51270308237	0.691508189	66.91815402	2.343340039	99.75182343	19.94960076		98411825.8	41.17008946	31.8	0.016366613	0.044567	2	50.94
Lithuania	66.2672	0.104569696	17	0.442712945	3.852606447	4550412808	0.985661085	65.27679708	3.903823376	99.85579681	28.33793128	0.893516667	2388447418	69.56005934	36.07777778		0.786601	2	75.78
Madagascar	32.4408	0.168157665	20	0.152877148	-0.998147034	1639473670	1.101905489	56.33912372	2.835757554	78.340168	3.556118499	0.012695	3844590.8	33.10473555	42.6	0.015515904	-0.951056	3	58.1
Malawi	448.0754	0.215007525	28	0.105822345	0.707356736	717333672.7	0.874570709	53.48621026	3.756155968	74.50875854	11.34466137		8554161		41.6	0.015140046	-0.940737	3	52.44
Malaysia	381.9274	0.214702851	29	0.335412893	1.412247927	1.01931E+11	1.011454405	69.27768545	4.517555118	97.12893867	44.0397676	1.228015	81270586219	59.56816567	42.1		1.115255	1	73.14
Mali	27.4862	0.117988532	32	2.04415372	0.824609097		1.224958068	50.01017074	3.551439941	46.93846321		0.29179	8645256.5	37.07522085	36.1	0.021231422	-0.602993	3	56.62
Mauritania	23.7908	0.117241541	28	0.619962802	0.380916763	1035693745		56.78834995	1.908126672	67.48994637		0.01081	427285.3333	46.54974155	32.6	0.013097577	-1.369835	3	55.28
