id	year	y	alav	roa	folga	bnp	finep	exp	ener	bndesdummy	roe	logporte	ti	LL	lucrativ	
BALM4 BZ Equity	2008	4	0.067889	0.066685652	0.472793448	0	0	1	0	0	0.060789971	7.814933133	1	4.215	0.064545274	
BALM4 BZ Equity	2009	4	0.051057	0.030609224	0.411936847	0	0	1	0	0	0.111381233	7.869554386	1	2.378	0.032111269	
BALM4 BZ Equity	2010	4	0.052687	0.053323324	0.50575381	0.082612462	0	1	0	1	0.055396371	7.930449789	1	4.617	0.054188869	
BALM4 BZ Equity	2011	4	0.051229	0.078398335	0.567448459	0	0	1	0	0	0.099689079	7.976863308	1	6.933	0.073123655	
BALM4 BZ Equity	2012	4	0.057533	0.084147482	0.496260581	0.155148537	0	1	0	1	0.129390467	7.970867346	1	8.458	0.090448285	
BALM4 BZ Equity	2013	4	0.067742	0.105367075	0.627937436	0	0	1	0	0	0.134821073	7.998895489	1	13.128	0.1316143	
BALM4 BZ Equity	2014	4	0.069453	0.08398837	0.608382823	0	0	1	0	0	0.173765718	8.036217558	1	11.497	0.105771088	
BALM4 BZ Equity	2015	4	0.063072	0.087200751	0.769803185	0	0	1	0	0	0.140140665	8.065568512	1	14.111	0.12133589	
BRFS3 BZ Equity	2006							0								
BRFS3 BZ Equity	2007		0.346287	0.049104651	0.358664323	0	0	0		1	0.054691909	9.71681755		321.307	0.061674074	
BRFS3 BZ Equity	2008	2	0.478281	0.004846185	0.297534288	0.011316216	0	0	0	1	0.099599842	9.821733764	0	54.372	0.008196747	
BRFS3 BZ Equity	2009	1	0.319063	0.004333473	0.28271784	0.002076644	1	1	0	1	0.013224969	10.05663924	0	123	0.010796074	
BRFS3 BZ Equity	2010	1	0.259551	0.028975177	0.244538273	0.029248537	1	1	0	1	0.009464669	10.20155552	0	804.106	0.050554263	
BRFS3 BZ Equity	2011	1	0.268599	0.04560545	0.230251434	0	0	1	0	0	0.058967106	10.35566704	0	1367.409	0.060288071	
BRFS3 BZ Equity	2012	1	0.309315	0.025022611	0.217270422	0	1	1	0	0	0.096911201	10.41003852	0	770.002	0.029953897	
BRFS3 BZ Equity	2013	2	0.314481	0.032816808	0.271447433	0.018490222	1	1	0	1	0.052826556	10.45510967	0	1062.43	0.037255522	
BRFS3 BZ Equity	2014	3	0.321001	0.06162897	0.42101746	0	0	1	0	0	0.072293064	10.44384912	0	2225.036	0.080073337	
BRFS3 BZ Equity	2015	3	0.375836	0.077032013	0.423281378	0	0	1	0	0	0.14181288	10.46250046	0	3111.17	0.107256415	
BRKM5 BZ Equity	2006							1								
BRKM5 BZ Equity	2007		0.40335	0.029921995	0.086026166	0.027337719	0	1		1	0.0233865	10.11369928		621.8	0.047857658	
BRKM5 BZ Equity	2008	3	0.527978	-0.109774953	-0.032024844	0.045137676	0	1	0	1	0.099067952	10.24656013	0	-2492.1	-0.141255491	
BRKM5 BZ Equity	2009	3	0.433949	0.017050109	-0.010155853	0.022632249	0	1	0	1	-0.677237893	10.25429424	0	398.491	0.022188313	
BRKM5 BZ Equity	2010	2	0.369182	0.054972359	0.085252234	0.019490616	1	1	0	1	0.080040067	10.20779777	0	1895.309	0.117457906	
BRKM5 BZ Equity	2011	2	0.405482	-0.013275046	0.106226502	0.023091627	1	1	0	1	0.182096168	10.4064519	0	-496.45	-0.019472585	
BRKM5 BZ Equity	2012	2	0.42535	-0.017759135	0.049814386	0.028890551	0	1	0	1	-0.049744938	10.51184427	0	-731.143	-0.022498733	
BRKM5 BZ Equity	2013	2	0.384778	0.010542674	0.046674871	0.012013672	1	1	0	1	-0.08450582	10.55823235	0	509.697	0.014095475	
BRKM5 BZ Equity	2014	2	0.41149	0.017483476	0.125770722	0	0	1	0	0	0.066355271	10.61246056	0	864.064	0.021090426	
BRKM5 BZ Equity	2015	2	0.455941	0.052372302	0.454279341	0	0	1	0	0	0.146591906	10.66305408	0	3140.311	0.068221078	
