date,val,type
2006-11,44833.1,Hidreletrica
2006-11,1743.7,Nuclear
2006-11,1944.3,Termica
2006-12,61.4,Eolica
2006-12,44601.2,Hidreletrica
2006-12,1830.4,Nuclear
2006-12,2213.1,Termica
2007-1,59.8,Eolica
2007-1,46632.5,Hidreletrica
2007-1,1346,Nuclear
2007-1,1613.7,Termica
2007-2,54,Eolica
2007-2,47929.8,Hidreletrica
2007-2,1079.9,Nuclear
2007-2,1306.8,Termica
2007-3,38.6,Eolica
2007-3,49991.4,Hidreletrica
2007-3,926.2,Nuclear
2007-3,1405.7,Termica
2007-4,52,Eolica
2007-4,48165.3,Hidreletrica
2007-4,805.4,Nuclear
2007-4,1414.6,Termica
2007-5,53.4,Eolica
2007-5,46422.6,Hidreletrica
2007-5,1448.4,Nuclear
2007-5,945.5,Termica
2007-6,55.3,Eolica
2007-6,45757.3,Hidreletrica
2007-6,1357.3,Nuclear
2007-6,1525.6,Termica
2007-7,60.6,Eolica
2007-7,45666.2,Hidreletrica
2007-7,1335,Nuclear
2007-7,2135.1,Termica
2007-8,87.7,Eolica
2007-8,46257.5,Hidreletrica
2007-8,1775.8,Nuclear
2007-8,2394.5,Termica
2007-9,75.4,Eolica
2007-9,45594.1,Hidreletrica
2007-9,1674.3,Nuclear
2007-9,2767.7,Termica
2007-10,90.7,Eolica
2007-10,46815.7,Hidreletrica
2007-10,1638.7,Nuclear
2007-10,2991.2,Termica
2007-11,68,Eolica
2007-11,45757.1,Hidreletrica
2007-11,1799.7,Nuclear
2007-11,3311.9,Termica
2007-12,69.1,Eolica
2007-12,45456.8,Hidreletrica
2007-12,1699.5,Nuclear
2007-12,3709.5,Termica
2008-1,73,Eolica
2008-1,44699.3,Hidreletrica
2008-1,1750.7,Nuclear
2008-1,4828.4,Termica
2008-2,61,Eolica
2008-2,44756.4,Hidreletrica
2008-2,1609.6,Nuclear
2008-2,5668,Termica
2008-3,39.3,Eolica
2008-3,45859.6,Hidreletrica
2008-3,1342.2,Nuclear
2008-3,5220.4,Termica
2008-4,31.4,Eolica
2008-4,46538.7,Hidreletrica
2008-4,1513.5,Nuclear
2008-4,4263.5,Termica
2008-5,55.3,Eolica
2008-5,45851.4,Hidreletrica
2008-5,990.8,Nuclear
2008-5,3944.5,Termica
2008-6,58.1,Eolica
2008-6,46631.4,Hidreletrica
2008-6,788.1,Nuclear
2008-6,4375.7,Termica
2008-7,50.2,Eolica
2008-7,45020.6,Hidreletrica
2008-7,1862.4,Nuclear
2008-7,3696.6,Termica
2008-8,69.9,Eolica
2008-8,46188.3,Hidreletrica
2008-8,1839.2,Nuclear
2008-8,3830.6,Termica
2008-9,86.5,Eolica
2008-9,46140.7,Hidreletrica
2008-9,1867.8,Nuclear
2008-9,3684.6,Termica
2008-10,78.6,Eolica
2008-10,47303.3,Hidreletrica
2008-10,1835.3,Nuclear
2008-10,3993,Termica
2008-11,89,Eolica
2008-11,46167,Hidreletrica
2008-11,1827.3,Nuclear
2008-11,3089.3,Termica
2008-12,68.7,Eolica
2008-12,42673,Hidreletrica
2008-12,1864.2,Nuclear
2008-12,3848.7,Termica
2009-1,58.7,Eolica
2009-1,45378,Hidreletrica
2009-1,1703.6,Nuclear
2009-1,2117.1,Termica
2009-2,48.3,Eolica
2009-2,48567.8,Hidreletrica
2009-2,1346.2,Nuclear
2009-2,1829.3,Termica
2009-3,54.3,Eolica
2009-3,49806.4,Hidreletrica
2009-3,1341.4,Nuclear
2009-3,2251.4,Termica
2009-4,33.6,Eolica
2009-4,47269.9,Hidreletrica
2009-4,1320.9,Nuclear
2009-4,1596.9,Termica
2009-5,40.3,Eolica
2009-5,44604.4,Hidreletrica
2009-5,1350.4,Nuclear
2009-5,3219.8,Termica
2009-6,59.3,Eolica
2009-6,44056.1,Hidreletrica
2009-6,1751,Nuclear
2009-6,2874.2,Termica
2009-7,53.9,Eolica
2009-7,46265.3,Hidreletrica
2009-7,1807.4,Nuclear
2009-7,1713.9,Termica
2009-8,78.2,Eolica
2009-8,48140.2,Hidreletrica
2009-8,651.5,Nuclear
2009-8,1366.3,Termica
2009-9,121,Eolica
2009-9,48797,Hidreletrica
2009-9,1613.9,Nuclear
2009-9,1214.5,Termica
2009-10,138.6,Eolica
2009-10,49046.6,Hidreletrica
2009-10,1439.9,Nuclear
2009-10,1334.5,Termica
2009-11,150.9,Eolica
2009-11,51260.9,Hidreletrica
2009-11,1634.7,Nuclear
2009-11,1344.8,Termica
2009-12,134.3,Eolica
2009-12,49885.4,Hidreletrica
2009-12,1791.3,Nuclear
2009-12,1360.9,Termica
2010-1,110.9,Eolica
2010-1,50997.6,Hidreletrica
2010-1,1967.3,Nuclear
2010-1,1571.5,Termica
2010-2,163.4,Eolica
2010-2,53058.2,Hidreletrica
2010-2,1905,Nuclear
2010-2,2311.1,Termica
2010-3,146.1,Eolica
2010-3,53221.9,Hidreletrica
2010-3,1969.8,Nuclear
2010-3,1906.4,Termica
2010-4,92.3,Eolica
2010-4,50413.6,Hidreletrica
2010-4,1569.8,Nuclear
2010-4,1821.3,Termica
2010-5,118.3,Eolica
2010-5,48399.2,Hidreletrica
2010-5,1718.1,Nuclear
2010-5,2821,Termica
2010-6,151,Eolica
2010-6,46320.3,Hidreletrica
2010-6,1979.8,Nuclear
2010-6,4329.4,Termica
2010-7,145.8,Eolica
2010-7,47873.1,Hidreletrica
2010-7,1647.9,Nuclear
2010-7,4037.6,Termica
2010-8,210,Eolica
2010-8,45912.9,Hidreletrica
2010-8,1443.4,Nuclear
2010-8,6505.6,Termica
2010-9,268.3,Eolica
2010-9,45420.4,Hidreletrica
2010-9,1852.3,Nuclear
2010-9,7639.6,Termica
2010-10,191.3,Eolica
2010-10,46131.2,Hidreletrica
2010-10,1509.7,Nuclear
2010-10,6657.8,Termica
2010-11,219.4,Eolica
2010-11,46998,Hidreletrica
2010-11,602.6,Nuclear
2010-11,7342,Termica
2010-12,168.2,Eolica
2010-12,49349,Hidreletrica
2010-12,1734.4,Nuclear
2010-12,4825.1,Termica
2011-1,95.3,Eolica
2011-1,52571.4,Hidreletrica
2011-1,1852.8,Nuclear
2011-1,2451.4,Termica
2011-2,94.6,Eolica
2011-2,54912.5,Hidreletrica
2011-2,1779.3,Nuclear
2011-2,2803,Termica
2011-3,101.6,Eolica
2011-3,53166.9,Hidreletrica
2011-3,1845.6,Nuclear
2011-3,2307,Termica
2011-4,59.3,Eolica
2011-4,52862,Hidreletrica
2011-4,1678.8,Nuclear
2011-4,2063.1,Termica
2011-5,88.8,Eolica
2011-5,50312.1,Hidreletrica
2011-5,1650.3,Nuclear
2011-5,2901.2,Termica
2011-6,157,Eolica
2011-6,49019.2,Hidreletrica
2011-6,1962.5,Nuclear
2011-6,3769.1,Termica
2011-7,201.8,Eolica
2011-7,49718.8,Hidreletrica
2011-7,1912.6,Nuclear
2011-7,3582.8,Termica
2011-8,322.3,Eolica
2011-8,52061.9,Hidreletrica
